,,Week 16 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,NYJ,LAR,-,-,,7.25,22.25,369.64,2.95,0.92,0.61,0.06,0.12,0.06,0.00,0.00
2,DAL,TB,-,-,,7.22,21.00,306.71,2.90,0.93,0.62,0.06,0.12,0.06,0.00,0.00
3,SF,MIA,-,-,,7.03,24.00,376.59,2.87,0.86,0.61,0.06,0.12,0.06,0.00,0.00
4,KC,HOU,-,-,,7.00,21.25,364.50,2.79,0.87,0.62,0.06,0.12,0.06,0.00,0.00
5,BAL,PIT,-,-,,6.94,18.25,292.67,2.84,0.85,0.60,0.06,0.12,0.06,0.00,0.00
6,BUF,NE,-,-,,6.40,18.00,285.51,2.63,0.88,0.56,0.06,0.06,0.06,0.00,0.00
7,CLE,CIN,-,-,,6.27,24.50,357.12,2.51,0.74,0.57,0.06,0.11,0.06,0.00,0.00
8,MIA,SF,-,-,,6.19,25.00,395.85,2.59,0.78,0.60,0.06,0.06,0.06,0.00,0.00
9,DET,CHI,-,-,,6.19,23.00,343.06,2.59,0.84,0.54,0.06,0.06,0.06,0.00,0.00
10,PHI,WAS,-,-,,6.07,21.00,312.67,2.59,0.78,0.54,0.06,0.06,0.06,0.00,0.00
11,SEA,MIN,-,-,,6.05,21.75,92.75,2.57,0.78,0.54,0.06,0.06,0.06,0.00,0.00
12,GB,NO,-,-,,6.05,20.00,318.75,2.51,0.79,0.55,0.06,0.06,0.06,0.00,0.00
13,CIN,CLE,-,-,,5.94,21.00,320.24,2.43,0.79,0.55,0.06,0.06,0.06,0.00,0.00
14,ATL,NYG,-,-,,5.94,20.00,270.65,2.43,0.79,0.55,0.06,0.06,0.06,0.00,0.00
15,CHI,DET,-,-,,5.91,24.00,381.01,2.48,0.77,0.53,0.06,0.06,0.06,0.00,0.00
16,PIT,BAL,-,-,,5.90,24.25,371.68,2.44,0.70,0.49,0.05,0.11,0.05,0.00,0.00
17,HOU,KC,-,-,,5.90,25.75,403.09,2.46,0.74,0.57,0.06,0.06,0.06,0.00,0.00
18,JAX,LV,-,-,,5.82,22.25,403.27,2.49,0.71,0.53,0.06,0.06,0.06,0.00,0.00
19,IND,TEN,-,-,,5.78,20.75,317.47,2.37,0.73,0.55,0.06,0.06,0.06,0.00,0.00
20,LAC,DEN,-,-,,5.78,19.50,271.25,2.44,0.72,0.54,0.06,0.06,0.06,0.00,0.00
21,LV,JAX,-,-,,5.77,23.25,334.59,2.51,0.70,0.52,0.06,0.06,0.06,0.00,0.00
22,MIN,SEA,-,-,,5.72,23.75,335.59,2.48,0.69,0.52,0.06,0.06,0.06,0.00,0.00
23,LAR,NYJ,-,-,,5.66,25.25,360.18,2.39,0.70,0.52,0.06,0.06,0.06,0.00,0.00
24,TB,DAL,-,-,,5.59,25.50,365.44,2.28,0.74,0.51,0.06,0.06,0.06,0.00,0.00
25,CAR,ARI,-,-,,5.54,23.25,359.50,2.27,0.70,0.52,0.06,0.06,0.06,0.00,0.00
26,ARI,CAR,-,-,,5.52,22.25,313.41,2.20,0.71,0.53,0.06,0.06,0.06,0.00,0.00
27,NO,GB,-,-,,5.49,25.00,369.97,2.24,0.73,0.50,0.06,0.06,0.06,0.00,0.00
28,WAS,PHI,-,-,,5.42,24.00,358.47,2.22,0.68,0.51,0.06,0.06,0.06,0.00,0.00
29,TEN,IND,-,-,,5.39,24.75,352.37,2.21,0.68,0.51,0.06,0.06,0.06,0.00,0.00
30,NYG,ATL,-,-,,5.32,24.50,352.06,2.30,0.62,0.50,0.06,0.06,0.06,0.00,0.00
31,NE,BUF,-,-,,5.23,26.50,395.85,2.21,0.65,0.49,0.05,0.05,0.05,0.00,0.00
32,DEN,LAC,-,-,,5.21,23.50,351.87,2.11,0.67,0.50,0.06,0.06,0.06,0.00,0.00